name,title,company,bio,talk_title,photo_url,twitter,linkedin
Nicole Murphy,Chief Compliance Officer,eToro,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e40f9508b5641898a12a37_NicoleMurphy_HEAD.jpeg,,
John Sarson,CEO,Sarson Funds,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e410a0dc3b908ab9a283be_JohnSarson_HEAD.jpg,,
Graeme Moore,Head of Strategy,Project Eleven,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb9ee828cf78ee9c9e5_67b7531ac5e95657bd32a42d_GraemeMoore_HEAD%25201.png,,
Kyleigha Beckmann,Founding Partner,Peace Through Trade Blockchain (PTT COIN),,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eebaa3d82747c9fa9696_6811577cfd0cb035ca8e7f16_KyleighaBeckmann_HEADupdated.jpeg,,
Lee Skinner,Business Development Lead in US/UK/Canada,Tangem,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68c2b311290798ecf1bb62f3_LeeSkinner_HEAD.jpg,,
Ana Jacobson,Brand Campaign Lead,Tangem,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68ef90551c1397031d5779f5_AnaJacobson_HEAD%201.png,,
Jake Antifaev,Co-Founder & CEO,Thrust,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dbd79b1282af9c48a9a663_jakeantifaev_head_720%201.png,,
Mahyar Akhbari,Co-Founder,Blockchain Futurist Conference,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/67d6e2f891e0269c3b2885e2_MahyarAkbari_HEAD.jpg,,
Charlotte Laborde,"Director, Partner Growth",MoonPay,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68c2b3d79e85ec192dbbe5bc_CharlotteLaborde_HEAD%201.png,,
Adam Cai,Founder & CEO,Virgo.co,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dfe3f6d817d0095ea8b851_AdamCai_HEAD.jpg,,
Matt Nicosia,Co-Creator,Trusted Smart Chain,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e411657aedc39a7e10b8dc_MattNicosia_HEAD%20(1)%201.png,,
Rosalyn Brown,PropTech & Tokenization Luxury Real Estate Agent,"Berkshire Hathaway, Bahamas",,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68f243f7cb70503949abb06a_RosalynBrown_HEAD.png,,
Reed Baum,Director of Research,Sarson Funds,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e413135a7930ee88f7ad26_ReedBaum_HEAD.jpg,,
Ben Grant,Co-Founder,EVERY.MEME,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6907937461a39922df7a2258_BenGrant_HEAD.png,,
Sandro Gonzalez,Co-Founder & CEO,KWARXS,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dfe4e4f64294f6ae40361a_SandroGonzalez_HEAD.jpeg,,
Brian J. Esposito,CEO & Co-Founder,DiamondLake $DLMI,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68f8589ac1c37e3dd3cf3861_BrianEsposito_HEAD%201.png,,
Nikita Sachdev,Founder & CEO,Luna Media Corporation,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68bae9060354d3ed544a9e46_NikitaSachdev_HEAD%201.png,,
Kevin Boeve,Investor Relations/Business Development Director,Palladium Network,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e61dc19bd10629faa9778b_kevinboeve_head_720.jpg,,
Zachary Nelson,Founder & CEO,Genzio Media,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb994a0fb06f3030bca_67dad627d069d228df77beca_67d98746fbbcad94a0468898_ZacharyNelson_HEAD.png,,
Eran Barak,CEO,Shielded Technologies,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a85e13734fe32faa6d6c49_EranBarak_HEAD%201.png,,
Jenni Rogers (CryptoQueen),Co-Founder,Shibwomen,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852f03dd33aae46fd1fce8e_679bb0d5d1c42c9df5a5b5a7_JenniRogers_HEAD.webp,,
Peter von Irle,Co-Founder & Managing Partner,Sullivan Hart LLP,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6900237a80c6cab82dc81c1b_PetervonIrle_HEADupdated.jpg,,
Armita Jalooli,Protocol Research Manager,Messari,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68cc1fe9724ce1dc4747efdb_ArmitaJalooli_HEAD.jpg,,
Jason Leibowitz,Head of Business Development,Meanwhile,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68b0dddc6ee022b02379f67b_JasonLeibowitz_HEAD.jpg,,
Tory Ricalis,CEO,Titl,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68812e7a86f601776b9b83ba_ToryRicalis_HEAD.jpeg,,
Nataliya Hearn,Director,CryptoChicks,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb9560579749b38f47e_68406e22a5e489ed7d03c3d4_NataliyaHearn_HEADupdated%2520(1)%25201.png,,
Pavan Agarwal,Creator,Angel Ai,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e7ef4ba8bf9bc981be4e85_PavanAgarwal_HEAD.jpeg,,
George Varghese,Strategic BD,0G Labs,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a85ec83fa6a3dfd1915232_GeorgeVarghese_HEAD.jpeg,,
