name,title,company,category,event
Dion Degrand,Chief Executive Officer,Rawlinson & Hunter Group of Companies in the Cayman Islands,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Annelise Osborne,Board Advisor / Author,M1X,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Samuel Jacques-Cloutier,Independent Director,Hash Directors,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Michael Bacina,Co-Founder & Attorney-at-law,NXT Law,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Audrey Nesbitt,CEO Spinnovate Tech; Author & VP Strategy and Growth Mansa Musa Minerals,Spinnovate Tech,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Aaron Grinhaus,Founder,Grinhaus Law Firm,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Alix Moghadam,Co-Founder & CEO,Agnic.AI,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Shelley Vaz,Founder & Creative Strategist,CRISP,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Stephen Sargeant,Founder,Airdropd,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Luke B.,COO Secret Network; Marketing Utribe,Secret Network / Utribe,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Danielle Pienaar,Web3 & Blockchain Director,Verdant Management Limited,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Leonard K. Fiadzinu,Co-Founder,Bitcoin Bay Corp,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Yoon Auh,CEO,BOLTS Technologies,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Ece Belgin,Founder,ETHIstanbul,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Deepak Rishi,"Senior Machine Learning Engineer, Tech Lead for Generative AI Products",Axon; Ex Microsoft,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Luke Shim,CFO & Co-Founder,Tokenable,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Dr. Amber D. Scott,Co-Founder & Chairperson,Outlier Compliance Group,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Dr. Guneet Kaur,Senior Editor,Crypto Citizens Network (CCN),Toronto 2026,Blockchain Futurist Conference Toronto 2026
Jerry Qian,Founder & CEO,OPTN Labs,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Justyna Osowska,Founder,Women in Blockchain Canada,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Matthew Glezos,Co-Founder,TorontoDAO & Safemed,Toronto 2026,Blockchain Futurist Conference Toronto 2026
"Marina Flat, PhD",Founder & CEO,Maplewise AI,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Landon Gardner,CEO,Web3 Toronto,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Karin Kusano,President AWIC Texas Chapter,Association for Women in Crypto,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Nick Skovorodnikov,Founder,Evolvy,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Athika Fatima,Founder,OneHeart Protocol,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Mike Mckerracher,Co-Founder,Fountainhead,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Lana Dingwall,Partnerships and Strategic Project Management,Coala Pay,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Jenni Rogers,Co-Founder Shibwomen; Founder Queens of Crypto,Shibwomen / Queens of Crypto,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Roberto Sanabria,Founder,Cryptoducation.com,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Vaishal Shah,Leading Agentic AI Labs,CGI Canada,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Dr. Tyrone Moodley,"Managing Director, Capital Strategy",Migodi-Auric,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Kay Chua Ginsburg,CEO,Ndeipi,Toronto 2026,Blockchain Futurist Conference Toronto 2026
George Melville,AI Researcher,Global Technology Inc.,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Gregory Joseph Caturay,CEO & Founder,Gatsby Gold,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Sydney Csuk,"Brand Development, Co-Founder",Honey Bee Royale / TheBitcoinBarbie Business,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Vitalik Buterin,Founder,Ethereum,Past/Keynote,Blockchain Futurist Conference Toronto 2026
Eric Trump,"Co-Founder, Chief Strategy Officer",American Bitcoin,Past/Keynote,Blockchain Futurist Conference Toronto 2026
Iggy Azalea,Global Music Icon,$MOTHER,Past/Keynote,Blockchain Futurist Conference Toronto 2026
Brock Pierce,Bitcoin Pioneer,,Past/Keynote,Blockchain Futurist Conference Toronto 2026
Tristan Thompson,"NBA Champion, Co-Founder",basketball.fun,Past/Keynote,Blockchain Futurist Conference Toronto 2026
