name,org,track,social
JESSIE MONGEON,WEB3 AUTHOR,Research,https://www.linkedin.com/in/jessie-mongeon/
BINJI,ETHEREUM FOUNDATION,Product & Marketers,https://x.com/binji_x
JULIAN GRIGO,SAFE,Stablecoins & Global Payments,https://www.linkedin.com/in/juliangrigo/
NATALIA KARAYANEVA,PROPY,RWA Tokenisation,https://x.com/NataliePropy
AMI NAGATA,ZODIA CUSTODY,DeFi,https://www.linkedin.com/in/aminagata1/
TONI WAHRSTAETTER,ETHEREUM FOUNDATION,Core Protocol,https://x.com/nero_eth
FRIEDERIKE ERNST,GNOSIS,Layer 2s,https://x.com/tw_tter
ANYA,GK8 BY GALAXY,RWA Tokenisation,https://www.linkedin.com/in/anya-nova/
KRZYSZTOF GOGOL,ZIRCUIT L2,Layer 2s,https://www.linkedin.com/in/krzysztofgogol/
VICTORIA CALMON,WEB3 COMMS,Product & Marketers,https://www.linkedin.com/in/victoriacalmon/
STEPHAN DUAN,ZKM,Core Protocol,https://x.com/sd_eigen
ALBERTO FERNANDEZ,LID,Built on Ethereum,https://www.linkedin.com/in/alberto-fernandez-peregrina/
ERIC ZHONG,UNISWAP LABS,DeFi,https://x.com/_ericzhong
BHAJI ILLUMINATI,CENTRIFUGE,RWA Tokenisation,https://www.linkedin.com/in/bhajiilluminati
ANDY M. LEE,MAMORI,Security,https://x.com/andymooselee
KAYDEN MOROZ LIEBL,HTTPS://GITHUB.COM/REAMLABS/REAM,Core Protocol,https://x.com/ReamLabs
PRABAL BANERJEE,AVAIL,DeFi,https://x.com/prabalbanerjee
YU HU,KAITO AI,Product & Marketers,https://x.com/Punk9277
ADRIAN BRINK,ANOMA,Cypherpunk & Privacy,https://x.com/adrianbrink
NENTER (NATHAN) CHOW,BITMART,RWA Tokenisation,https://x.com/50Nent
NICOLAS ASSOUAD,SPIKO,I don't know where I fit,https://www.linkedin.com/in/nicolas-assouad/
UROS TRBOVIC,DGRS LABS,Built on Ethereum,https://x.com/Maxi_maximalist
DANIEL ELKINS,DGRS LABS,Built on Ethereum,https://x.com/the_pano
PETAR ATANASOVSKI,CURVY,Cypherpunk & Privacy,https://x.com/AtanasovskiP
SUJI,MASK NETWORK,Cypherpunk & Privacy,https://x.com/suji_yan
WILL PAPPER,SYNDICATE,Layer 2s,https://x.com/WillPapper
OTTDOGG,LOEB & LOEB,Cypherpunk & Privacy,https://www.linkedin.com/in/privacydataandcybersecuritylitigation/
ROMAIN MENETRIER,DOWGO,RWA Tokenisation,https://www.linkedin.com/in/rmenetrier/
KONY KWONG,GAIB,RWA Tokenisation,https://x.com/konyk001
JONATHAN PASSERAT-PALMBACH,IMPERIAL COLLEGE LONDON / FLASHBOTS,Research,https://www.linkedin.com/in/jopasserat
ARTEM SINYAKIN,OAK RESEARCH,Product & Marketers,https://www.linkedin.com/in/artem-sinyakin/
1SLA.ETH,ZUITZERLAND,Cypherpunk & Privacy,https://x.com/0xisla
RYAN SAUGE,TAURUS,Built on Ethereum,https://www.linkedin.com/in/ryan-sge/
ALEXANDER,MIDEN,Applied cryptography,https://x.com/alexanderlee314
DAN LIGOCKY,DUCT TAPE / ETHPRAGUE,Product & Marketers,https://www.linkedin.com/in/ligocky
LIZ STEININGER,LEAST AUTHORITY,Cypherpunk & Privacy,https://www.linkedin.com/in/lizsteininger/
SYLVAIN PRIGENT,SG FORGE,Stablecoins & Global Payments,https://www.linkedin.com/in/sylvain-prigent-96978682/
KIRK BAIRD,SIGMA PRIME,Security,https://www.linkedin.com/in/kirk-baird-1b734510a/
BELMA GUTLIC,INDEPENDENT,Cypherpunk & Privacy,https://www.linkedin.com/in/belmagutlic/
JORK LEONHARDT,COLIBRI.STATELESS,Security,https://www.linkedin.com/in/jorkleonhardt/
JACOBC.ETH,COINFELLO,AI Agents and Automation,https://x.com/jacobc_eth
ALBICODES,FLASHBOTS X,Zero Tech & TEE,https://x.com/albicodes
JHA / EXWHYZEE,ETHBELGIUM,Product & Marketers,https://www.linkedin.com/in/sundaramj/
TÜMAY TUZCU,CAMBRIAN,Built on Ethereum,https://linkedin.com/in/tumaytuzcu
0XRAJEEV,SECUREUM,Security,https://x.com/0xRajeev
BRENDA LOYA,TELLOR,Cypherpunk & Privacy,https://x.com/JustBrendax
REBECCA LIAO,SAGA,AI Agents and Automation,https://www.linkedin.com/in/rebecca-liao
HONG KIM,BITWISE ASSET MANAGEMENT,I don't know where I fit,https://x.com/hongkim__
ZACH PANDL,GRAYSCALE,RWA Tokenisation,https://x.com/LowBeta_
ALAN LI,BREVIS,Zero Tech & TEE,https://x.com/brevis_zk
ANDREY IVASKO,RESEARCHER,Applied cryptography,https://x.com/aiv768
ANDREA CANIDIO,INDEPENDENT RESEARCHER,Research,https://x.com/AndreaCanidio
SUKI YANG,ICON TRADING,DeFi,https://twitter.com/tradergirlsuki
MIKE MCCABE,0XBOW,Cypherpunk & Privacy,https://x.com/0xmikemcc
JISTRO,EVVM.ORG,Research,https://x.com/jistro
