id,name,slug,tier,edition,tier_raw,description,website,logo_url,logo_alt,createdAt,updatedAt,publishedAt
112,Envio,sponsor-18,Sapphire,EthCC[9],Sapphire,"""Envio is a modern, multi-chain EVM blockchain indexer for querying real-time and historical data.""",https://envio.dev/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Envio_dcca3e016a.png,,2025-11-18T20:01:28.330Z,2025-11-18T20:01:29.398Z,2025-11-18T20:01:29.394Z
113,Plexus,sponsor-19,Sapphire,EthCC[9],Sapphire,The Global leaders in Crypto recruitment,https://plexusrs.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Plexus_Logo_7b1df641e4.png,,2025-11-18T20:10:47.756Z,2025-11-18T20:10:49.594Z,2025-11-18T20:10:49.590Z
115,ivault,sponsor-21,Sapphire,EthCC[9],Sapphire,"Rent, earn, connect. The Web3 app for peer-to-peer sharing of Real World Assets.",https://ivault.io/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/ivault_logo_full_color_positive_horizontal_f960a068eb.png,,2025-11-27T10:52:48.036Z,2025-11-27T10:52:50.112Z,2025-11-27T10:52:50.101Z
116,Monerium,sponsor-22,Sapphire,EthCC[9],Sapphire,Use fiat across banks and blockchains,https://monerium.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/monerium_logo_ac6b2d90db.svg,,2025-12-13T16:24:48.556Z,2025-12-13T16:24:49.738Z,2025-12-13T16:24:49.734Z
117,Etherlink,sponsor-23,Sapphire,EthCC[9],Sapphire,The EVM-compatibility layer for Tezos.,https://www.etherlink.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/CA_4293_Etherlink_Logo_Refresh_Grey_RGB_525d74e8ad.svg,,2025-12-22T08:29:35.882Z,2025-12-22T08:29:36.647Z,2025-12-22T08:29:36.643Z
118,Chain Patrol,sponsor-24,Sapphire,EthCC[9],Sapphire,"Real-time security for web3 brands, and communities.",https://chainpatrol.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/chainpatrol_symbolwordmark_black_new_3f9fdca9a9.png,,2026-01-05T17:16:53.059Z,2026-01-05T17:16:54.522Z,2026-01-05T17:16:54.515Z
121,Dedaub,sponsor-27,Sapphire,EthCC[9],Sapphire,Uncover. Secure. Trust. ,https://dedaub.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Dedaub_Logo_66c3cbe4a2.svg,,2026-01-26T10:18:18.373Z,2026-01-26T10:18:19.201Z,2026-01-26T10:18:19.197Z
122,Nethermind,sponsor-28,Sapphire,EthCC[9],Sapphire,"Nethermind builds and secures core Ethereum infrastructure, from clients and ZK systems to verifiable, privacy-preserving digital identity.",https://www.nethermind.io/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Nethermind_Dark_Horizontal_cccfa509e6.png,,2026-01-26T10:24:25.372Z,2026-01-26T10:24:26.171Z,2026-01-26T10:24:26.168Z
124,Ambire,sponsor-30,Sapphire,EthCC[9],Sapphire,Your Web3 wallet that just works.,https://www.ambire.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/logo_hor_color_black_533f7331a2.png,,2026-01-26T13:31:34.662Z,2026-01-26T13:31:35.496Z,2026-01-26T13:31:35.493Z
125,Nexus Mutual,sponsor-31,Sapphire,EthCC[9],Sapphire,"Nexus Mutual is the first crypto insurance alternative, covering crypto since 2019.",https://nexusmutual.io/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Nexus_Mutual_Color_Logo_781b825bd9.png,,2026-01-26T21:23:31.792Z,2026-01-26T21:23:32.828Z,2026-01-26T21:23:32.825Z
126,Oasis,sponsor-32,Sapphire,EthCC[9],Sapphire,,https://oasis.net/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Logo_Blue_2x_65229d32b1.png,,2026-01-27T10:57:08.808Z,2026-01-27T10:57:09.976Z,2026-01-27T10:57:09.973Z
127,Santiment,sponsor-33,Sapphire,EthCC[9],Sapphire,"Santiment: from intelligence to reputation with Play, a fun take on crypto predictions.",https://santiment.net/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Santiment_logo_243cec732f.svg,,2026-01-27T11:22:32.922Z,2026-02-11T10:19:02.640Z,2026-01-27T11:22:34.158Z
