name,tier,website,logo_url,description,source_year
blockman,Supporting Partner,https://blockman.pro/,https://framerusercontent.com/images/VFWyRhzEUaxjlYp7HINrp0vUZqI.png?scale-down-to=512&width=634&height=288,,2025
theblockbeats,Supporting Partner,https://www.theblockbeats.info/,https://framerusercontent.com/images/SnwlQOUrvuMekdZHlHSXezfbRKs.png?scale-down-to=512&width=634&height=288,,2025
jinse,Supporting Partner,https://www.jinse.com/,https://framerusercontent.com/images/tGqDnl1SeaymP3inK3RcWBvwU0.png?scale-down-to=512&width=634&height=288,,2025
chaincatcher,Supporting Partner,https://www.chaincatcher.com/,https://framerusercontent.com/images/SQtXO3h6IzbSQEjcHvgcT0nSW5M.png?scale-down-to=512&width=634&height=288,,2025
coin68,Supporting Partner,https://coin68.com/,https://framerusercontent.com/images/NmBkShPoGiyFZ7RqZbSHrmiVZEw.png?scale-down-to=512&width=634&height=288,,2025
cryptocurrency-association,Supporting Partner,https://cryptocurrency-association.org/,https://framerusercontent.com/images/vQf96wAaFrOyWWGU8QjybvBFQU.png?scale-down-to=512&width=634&height=288,,2025
kiiras,Supporting Partner,https://kiiras.bstage.in/,https://framerusercontent.com/images/jP8B1NL8WPYJCeQ8AfTUeaU9M.png?scale-down-to=512&width=634&height=288,,2025
leanbranding,Supporting Partner,https://www.leanbranding.co.kr/,https://framerusercontent.com/images/1ktumD8KhbepRk1ornEHosOQBI8.png?scale-down-to=512&width=634&height=288,,2025
coindesk,Supporting Partner,https://consensus-hongkong.coindesk.com/,https://framerusercontent.com/images/9Bwr8vIOdghAe4jY55Whv0eE6Cg.png?scale-down-to=512&width=634&height=288,,2025
arccommunity,Supporting Partner,https://arccommunity.com/,https://framerusercontent.com/images/Uh7eqm7HtiNT7pRpZQhij8MYpYY.png?scale-down-to=512&width=634&height=288,,2025
followin,Supporting Partner,https://followin.io/,https://framerusercontent.com/images/7KJnbsh0ILGoMLRpyfbLhoZI4yg.png?scale-down-to=512&width=634&height=288,,2025
bloomberg,Attending Media,https://www.bloomberg.com/,https://framerusercontent.com/images/QP6d09tliekHQnw0LOC3fZMM.png?scale-down-to=512&width=634&height=288,,2025
wsj,Attending Media,https://www.wsj.com/,https://framerusercontent.com/images/eWa03DXDTA8JuB8t1JBrBVgHY4.png?scale-down-to=512&width=634&height=288,,2025
tokenpost,Attending Media,https://tokenpost.com/,https://framerusercontent.com/images/DIr1kGevn3BlmtGPMeCXC3PGiw.png?scale-down-to=512&width=634&height=288,,2025
coinness,Attending Media,https://www.coinness.com/,https://framerusercontent.com/images/UDuSq1nvnAFd85NmLVGhimtg.png?scale-down-to=512&width=634&height=288,,2025
bloomingbit,Attending Media,https://bloomingbit.io/,https://framerusercontent.com/images/GMPPhMvLVWdm5tvz8qlFKTONc.png?scale-down-to=512&width=634&height=288,,2025
blockmedia,Attending Media,https://www.blockmedia.co.kr/,https://framerusercontent.com/images/MDg3lKHwDZOmnA7znPBWNLihZcw.png?scale-down-to=512&width=634&height=288,,2025
fnnews,Attending Media,https://www.fnnews.com/,https://framerusercontent.com/images/PKaaJBHxhLVhIvNuCJq9o1dORBw.png?scale-down-to=512&width=634&height=288,,2025
chosun,Attending Media,https://biz.chosun.com/,https://framerusercontent.com/images/5NZ9LCPp3O0CWpxTacE5O7sBw1U.png?scale-down-to=512&width=634&height=288,,2025
mk,Attending Media,https://www.mk.co.kr/,https://framerusercontent.com/images/5hKZNDWLlyMmqil2t04Fuo6sY.png?scale-down-to=512&width=634&height=288,,2025
