record_type,name,title,company,title_secondary,company_secondary,is_virtual_speaker,twitter,linkedin,website,profile_url
Speaker,Daniela Barbosa,General Manager of Decentralized Technologies,Linux Foundation,,,No,danielabarbosa,https://www.linkedin.com/in/danielabarbosa/,https://www.lfdecentralizedtrust.org/,https://consensus.coindesk.com/agenda/speaker/-daniela-barbosa
Speaker,Tobi Bauer,General Partner,TBV,,,No,tobiasTBV,https://www.linkedin.com/in/tobias-man-bauer/,tbv.xyz,https://consensus.coindesk.com/agenda/speaker/-tobi-bauer
Speaker,Billy Beach,Co-Founder,Trusted Smart Chain,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-billy-beach
Speaker,Simone Berry,Founder & CEO,Playnet,,,No,playnetofficial,https://www.linkedin.com/in/berrysimone/,www..playnet.xyz,https://consensus.coindesk.com/agenda/speaker/-simone-berry
Speaker,Anna Bertha,Director | Investments,DCG,,,No,,https://www.linkedin.com/in/annabertha/,https://dcg.co/,https://consensus.coindesk.com/agenda/speaker/-anna-bertha
Speaker,Daniel Blackmore,Chief Commercial Officer,Glassnode,,,No,,https://www.linkedin.com/in/danielthomasblackmore/,,https://consensus.coindesk.com/agenda/speaker/-daniel-blackmore
Speaker,Michael Blaugrund,Strategic Initiatives,ICE,,,No,,https://www.linkedin.com/in/michael-blaugrund/,,https://consensus.coindesk.com/agenda/speaker/-michael-blaugrund
Speaker,Alexander Blume,Founder & CEO,Two Prime,,,No,Two_Prime,https://www.linkedin.com/company/twoprime/,twoprime.com,https://consensus.coindesk.com/agenda/speaker/-alex-blume
Speaker,Samantha Bohbot,Partner & Chief Growth Officer,RockawayX,,,No,samantha_bohbot,www.linkedin.com/in/samantha-bohbot,https://rockawayx.com,https://consensus.coindesk.com/agenda/speaker/-samantha-bohbot
Speaker,Nom BONK,Core Contributor,BONK,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-nom-bonk
Speaker,Samuel Breckenridge,PhD Student,Cornell Tech,,,No,sjbreck,https://www.linkedin.com/in/samuel-breckenridge-4729b719a/,https://www.cs.cornell.edu/~sjb373/,https://consensus.coindesk.com/agenda/speaker/-samuel-breckenridge
Speaker,Paul Brody,Founder / CEO,Nightfall Networks,,,No,pbrody,https://www.linkedin.com/in/pbrody,,https://consensus.coindesk.com/agenda/speaker/-paul-brody
Speaker,Sam Broner,Founder,The Better Money Company,,,No,SamBroner,https://www.linkedin.com/in/sambroner/,https://bettermoney.com/,https://consensus.coindesk.com/agenda/speaker/-sam-broner
Speaker,Jake Brukhman,Founder & CEO,CoinFund,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-jake-brukhman
Speaker,Michael Bucella,Co-Founder & Managing Partner,Neoclassic Capital,,,No,mikebucella,michaelbucella,www.neoclassic.capital,https://consensus.coindesk.com/agenda/speaker/-michael-bucella
Speaker,Mike Bursell,Executive Director,Confidential Computing Consortium,,,No,,https://www.linkedin.com/in/mikebursell/,https://confidentialcomputing.io,https://consensus.coindesk.com/agenda/speaker/-mike-bursell
Speaker,William Byrnes,Professor & Financial Journalist,Texas A&M Law School,,,No,williambyrnes,www.linkedin.com/in/williambyrnes,https://www.thinkadvisor.com/author/profile/william-h.-byrnes/,https://consensus.coindesk.com/agenda/speaker/-william-byrnes
Speaker,Maya Caddle,Head of Payments - Business Development & Partnerships,Solana,,,No,CaddleMaya,https://www.linkedin.com/in/maya-caddle/,,https://consensus.coindesk.com/agenda/speaker/-maya-caddle
Speaker,Leah Callon Butler,Director,Emfarsis,,,No,leah_cb,https://www.linkedin.com/in/leahcallonbutler/,,https://consensus.coindesk.com/agenda/speaker/-leah-callon-butler
