Conference,Name,Title,Company / Organization,Presenting Virtually,Photo URL,Source Page
2026 Toronto,Aaron Grinhaus,Founder,Grinhaus Law Firm,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d8fe0d1ed3c41ff81b44cd_AaronGrinhaus_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Shelley Vaz,Founder & Creative Strategist,CRISP,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90ddaacb3b1585736cbd6_ShelleyVaz_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Stephen Sargeant,Founder,Airdropd,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90e8761a7c8b869633bd0_StephenSargeant_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Danielle Pienaar,Verdant Management Limited & Web3 & Blockchain Director,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69e231b9eb91da1144342337_DaniellePienaar_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Ece Belgin,Founder,ETHIstanbul,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69e231f13a1a5a63ba56f838_EceBelgin_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Deepak Rishi,"Senior Machine Learning Engineer and tech lead for generative AI products, Axon",Ex Microsoft Tech Lead,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69e2322b7065251aace9185f_DeepakRishi_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Amber D. Scott,Co-Founder & CEO,Outlier Compliance Group,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d9003e4ab6593a7b1de4e2_AmberDScott_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Dr. Guneet Kaur,Senior Editor,Crypto Citizens Network (CCN),,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d9077cc82cf485a16f7c37_DrGuneetKaur_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Justyna Osowska,Founder,Women in Blockchain Canada,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90993bb0ef9d082f8d4f4_JustynaOsowska_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,"Marina Flat, PhD",PhD,"Founder & CEO, Maplewise AI",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69de33e02b8e43123f64e2d3_MarinaFlat_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Karin Kusano,President,AWIC Texas Chapter,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90adb750cf3e1716a425e_KarinKusano_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Nick Skovorodnikov,Founder,Evolvy,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69f6089834fb8ea78662af35_NickSkovorodnikov_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Mike Mckerracher,Co-Founder,Fountainhead,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6a07417d68b04f34780ec863_MikeMckerracher_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2025 Florida,Eric Trump,Co-Founder and Chief Strategy Officer,American Bitcoin,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68f6fc1132630e78c00990bb_Eric%20Trump%201.png,https://futuristconference.com/florida/speakers
2025 Florida,Tristan Thompson,NBA Champion,"Co-Founder, basketball.fun",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dfe531f3fb6ab181104f1a_tristanthompson_head_480%201.png,https://futuristconference.com/florida/speakers
2025 Florida,Iggy Azalea,Global Music Icon,"Founder, $MOTHER",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dbd7ae6419006739baffa4_IggyAzalea_HEAD.png,https://futuristconference.com/florida/speakers
2025 Florida,Tom Bilyeu,World-Renowned Podcaster,Co-Founder Impact Theory,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68b0de4cbbc1997111bfc3aa_tombilyeu_head_720.jpg,https://futuristconference.com/florida/speakers
2025 Florida,Dr. Ben Goertzel,CEO,SingularityNet and ASI Alliance,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68c2b5e370adeeaabb761e48_BenGoertzel_HEAD%201.png,https://futuristconference.com/florida/speakers
2025 Florida,Asher Genoot,Executive Chairman of American Bitcoin and CEO of Hut 8,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68f6fbbe1a5223428f1e461a_AsherGenoot_HEAD%201.png,https://futuristconference.com/florida/speakers
2025 Florida,Mike Ho,CEO,American Bitcoin,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/690b096230df5f81ef1668ff_MikeHo_HEAD%201.png,https://futuristconference.com/florida/speakers
2025 Florida,N3on,CEO,N3on Media,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68f132628636f90b1815fe75_n3on_head_720.jpg,https://futuristconference.com/florida/speakers
