Record Type,Category/Tier,Name/Company,Title,Organization
Sponsor,Gold,Riot Platforms,,Riot Platforms
Sponsor,Silver,Bitdeer,,Bitdeer
Sponsor,Silver,Bitwise,,Bitwise
Sponsor,Silver,Cahill / CahillNXT,,Cahill / CahillNXT
Sponsor,Silver,CertiK,,CertiK
Sponsor,Silver,Cryptio,,Cryptio
Sponsor,Silver,KPMG,,KPMG
Sponsor,Silver,National Cryptocurrency Association,,National Cryptocurrency Association
Sponsor,Silver,Naoris Protocol,,Naoris Protocol
Sponsor,Silver,Perkins Coie,,Perkins Coie
Sponsor,Bronze,AVAX One,,AVAX One
Sponsor,Bronze,Chapman and Cutler,,Chapman and Cutler
Sponsor,Bronze,Clifford Chance,,Clifford Chance
Sponsor,Bronze,Dinari,,Dinari
Sponsor,Bronze,Greenberg Traurig,,Greenberg Traurig
Sponsor,Bronze,Our Secure Future,,Our Secure Future
